,route_id,service_id,trip_id,arrival_time,departure_time,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,route_long_name,route_color,geometry,color
225,5,36CF2ED7,EMDE_201_20,17:13:00,17:13:00,1,237,Penn Station,40.750588444578,-73.993584084919,Montauk Branch,00B2A9,POINT (-73.993584084919 40.750588444578),#00B2A9
226,5,36CF2ED7,EMDE_201_20,17:32:00,17:33:00,2,102,Jamaica,40.699608169502,-73.808529871584,Montauk Branch,00B2A9,POINT (-73.808529871584 40.699608169502),#00B2A9
227,5,36CF2ED7,EMDE_201_20,18:15:00,18:15:00,3,27,Babylon,40.700689424802,-73.324055613067,Montauk Branch,00B2A9,POINT (-73.324055613067 40.700689424802),#00B2A9
228,5,36CF2ED7,EMDE_201_20,18:21:00,18:21:00,4,26,Bay Shore,40.724433435417,-73.254082948452,Montauk Branch,00B2A9,POINT (-73.254082948452 40.724433435417),#00B2A9
229,5,36CF2ED7,EMDE_201_20,18:26:00,18:26:00,5,100,Islip,40.735834489563,-73.209321448531,Montauk Branch,00B2A9,POINT (-73.209321448531 40.735834489563),#00B2A9
230,5,36CF2ED7,EMDE_201_20,18:29:00,18:29:00,6,74,Great River,40.740444435855,-73.170195850396,Montauk Branch,00B2A9,POINT (-73.170195850396 40.740444435855),#00B2A9
231,5,36CF2ED7,EMDE_201_20,18:33:00,18:33:00,7,157,Oakdale,40.74343274705,-73.132435494821,Montauk Branch,00B2A9,POINT (-73.132435494821 40.74343274705),#00B2A9
232,5,36CF2ED7,EMDE_201_20,18:38:00,18:38:00,8,204,Sayville,40.740353734002,-73.086455307829,Montauk Branch,00B2A9,POINT (-73.086455307829 40.740353734002),#00B2A9
233,5,36CF2ED7,EMDE_201_20,18:45:00,18:45:00,9,163,Patchogue,40.761879012377,-73.015744510946,Montauk Branch,00B2A9,POINT (-73.015744510946 40.761879012377),#00B2A9
234,5,36CF2ED7,EMDE_201_20,18:51:00,18:51:00,10,21,Bellport,40.773738904482,-72.943965742491,Montauk Branch,00B2A9,POINT (-72.943965742491 40.773738904482),#00B2A9
235,5,36CF2ED7,EMDE_201_20,18:58:00,18:58:00,11,140,Mastic Shirley,40.798988151573,-72.864422717948,Montauk Branch,00B2A9,POINT (-72.864422717948 40.798988151573),#00B2A9
236,5,36CF2ED7,EMDE_201_20,19:19:00,19:19:00,12,198,Speonk,40.821315163654,-72.705262245283,Montauk Branch,00B2A9,POINT (-72.705262245283 40.821315163654),#00B2A9
237,5,36CF2ED7,EMDE_201_20,19:26:00,19:26:00,13,233,Westhampton,40.830305321957,-72.650324540393,Montauk Branch,00B2A9,POINT (-72.650324540393 40.830305321957),#00B2A9
238,5,36CF2ED7,EMDE_201_20,19:36:00,19:36:00,14,83,Hampton Bays,40.876609161601,-72.523949360691,Montauk Branch,00B2A9,POINT (-72.523949360691 40.876609161601),#00B2A9
239,5,36CF2ED7,EMDE_201_20,19:46:00,19:46:00,15,191,Southampton,40.894718742702,-72.390123758063,Montauk Branch,00B2A9,POINT (-72.390123758063 40.894718742702),#00B2A9
240,5,36CF2ED7,EMDE_201_20,19:54:00,19:54:00,16,13,Bridgehampton,40.938983784659,-72.310045934299,Montauk Branch,00B2A9,POINT (-72.310045934299 40.938983784659),#00B2A9
