,route_id,service_id,trip_id,arrival_time,departure_time,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,route_long_name,route_color,geometry,color
0,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:40:00,05:40:00,1,405308,WEST 66 ST/FREEDOM PL,40.7765,-73.988634,East Side - West Side,6CBE45,POINT (-73.988634 40.7765),#6CBE45
1,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:41:42,05:41:42,2,404865,W 70 ST/FREEDOM PL,40.778911,-73.986687,East Side - West Side,6CBE45,POINT (-73.986687 40.778911),#6CBE45
2,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:42:23,05:42:23,3,405086,WEST END AV/WEST 70 ST,40.778725,-73.985135,East Side - West Side,6CBE45,POINT (-73.985135 40.778725),#6CBE45
3,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:43:10,05:43:10,4,400853,W 72 ST/WEST END AV,40.779553,-73.984116,East Side - West Side,6CBE45,POINT (-73.984116 40.779553),#6CBE45
4,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:44:00,05:44:00,5,405237,W 72 ST/BROADWAY,40.778765,-73.982161,East Side - West Side,6CBE45,POINT (-73.982161 40.778765),#6CBE45
5,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:45:03,05:45:03,6,403606,W 72 ST/COLUMBUS AV,40.777403,-73.979019,East Side - West Side,6CBE45,POINT (-73.979019 40.777403),#6CBE45
6,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:46:00,05:46:00,7,402269,W 72 ST/CENTRAL PK W,40.776206,-73.976177,East Side - West Side,6CBE45,POINT (-73.976177 40.776206),#6CBE45
7,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:46:36,05:46:36,8,401344,CENTRAL PK W/W 70 ST,40.774837,-73.97716,East Side - West Side,6CBE45,POINT (-73.97716 40.774837),#6CBE45
8,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:47:04,05:47:04,9,401345,CENTRAL PK W/W 68 ST,40.773569,-73.978045,East Side - West Side,6CBE45,POINT (-73.978045 40.773569),#6CBE45
9,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:50:27,05:50:27,10,403494,E 65 ST/5 AV,40.767811,-73.969931,East Side - West Side,6CBE45,POINT (-73.969931 40.767811),#6CBE45
10,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:51:00,05:51:00,11,404994,MADISON AV/E 66 ST,40.767836,-73.968184,East Side - West Side,6CBE45,POINT (-73.968184 40.767836),#6CBE45
11,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:51:26,05:51:26,12,405489,MADISON AV/E 67 ST,40.768789,-73.967515,East Side - West Side,6CBE45,POINT (-73.967515 40.768789),#6CBE45
12,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:52:02,05:52:02,13,400029,MADISON AV/E 69 ST,40.770075,-73.966558,East Side - West Side,6CBE45,POINT (-73.966558 40.770075),#6CBE45
13,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:52:59,05:52:59,14,402290,E 72 ST/MADISON AV,40.771502,-73.964994,East Side - West Side,6CBE45,POINT (-73.964994 40.771502),#6CBE45
14,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:54:00,05:54:00,15,402292,E 72 ST/LEXINGTON AV,40.770268,-73.962107,East Side - West Side,6CBE45,POINT (-73.962107 40.770268),#6CBE45
15,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:54:27,05:54:27,16,402293,E 72 ST/3 AV,40.769518,-73.960284,East Side - West Side,6CBE45,POINT (-73.960284 40.769518),#6CBE45
16,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:54:57,05:54:57,17,405365,E 72 ST/2 AV,40.768711,-73.958282,East Side - West Side,6CBE45,POINT (-73.958282 40.768711),#6CBE45
17,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:55:34,05:55:34,18,402295,E 72 ST/1 AV,40.767672,-73.955852,East Side - West Side,6CBE45,POINT (-73.955852 40.767672),#6CBE45
18,M72,MQ_B3-Weekday,MQ_B3-Weekday-034000_M72_601,05:56:00,05:56:00,19,803058,E 72 ST/YORK AV,40.766958,-73.954141,East Side - West Side,6CBE45,POINT (-73.954141 40.766958),#6CBE45
2996,M57,MQ_B3-Weekday,MQ_B3-Weekday-037300_M57_451,06:13:00,06:13:00,1,404938,E 60 ST/YORK AV,40.75931,-73.959464,East Side - West Side,00AEEF,POINT (-73.959464 40.75931),#00AEEF
2997,M57,MQ_B3-Weekday,MQ_B3-Weekday-037300_M57_451,06:13:57,06:13:57,2,404266,SUTTON PL/E 58 ST,40.757808,-73.96043,East Side - West Side,00AEEF,POINT (-73.96043 40.757808),#00AEEF
2998,M57,MQ_B3-Weekday,MQ_B3-Weekday-037300_M57_451,06:14:54,06:14:54,3,404037,SUTTON PLACE/E 55 ST,40.756196,-73.961653,East Side - West Side,00AEEF,POINT (-73.961653 40.756196),#00AEEF
2999,M57,MQ_B3-Weekday,MQ_B3-Weekday-037300_M57_451,06:15:53,06:15:53,4,402221,E 55 ST/1 AV,40.756998,-73.963634,East Side - West Side,00AEEF,POINT (-73.963634 40.756998),#00AEEF
3000,M57,MQ_B3-Weekday,MQ_B3-Weekday-037300_M57_451,06:16:57,06:16:57,5,402222,E 57 ST/1 AV,40.758562,-73.963301,East Side - West Side,00AEEF,POINT (-73.963301 40.758562),#00AEEF
