,route_id,service_id,trip_id,arrival_time,departure_time,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,route_long_name,route_color,geometry,color
0,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:06:00,00:06:00,1,101S,Van Cortlandt Park-242 St,40.889248,-73.898583,Broadway - 7 Avenue Local,EE352E,POINT (-73.898583 40.889248),#EE352E
1,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:07:30,00:07:30,2,103S,238 St,40.884667,-73.90087,Broadway - 7 Avenue Local,EE352E,POINT (-73.90087 40.884667),#EE352E
2,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:09:00,00:09:00,3,104S,231 St,40.878856,-73.904834,Broadway - 7 Avenue Local,EE352E,POINT (-73.904834 40.878856),#EE352E
3,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:10:30,00:10:30,4,106S,Marble Hill-225 St,40.874561,-73.909831,Broadway - 7 Avenue Local,EE352E,POINT (-73.909831 40.874561),#EE352E
4,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:12:00,00:12:00,5,107S,215 St,40.869444,-73.915279,Broadway - 7 Avenue Local,EE352E,POINT (-73.915279 40.869444),#EE352E
5,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:13:00,00:13:00,6,108S,207 St,40.864621,-73.918822,Broadway - 7 Avenue Local,EE352E,POINT (-73.918822 40.864621),#EE352E
6,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:14:30,00:14:30,7,109S,Dyckman St,40.860531,-73.925536,Broadway - 7 Avenue Local,EE352E,POINT (-73.925536 40.860531),#EE352E
7,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:16:00,00:16:00,8,110S,191 St,40.855225,-73.929412,Broadway - 7 Avenue Local,EE352E,POINT (-73.929412 40.855225),#EE352E
8,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:17:30,00:17:30,9,111S,181 St,40.849505,-73.933596,Broadway - 7 Avenue Local,EE352E,POINT (-73.933596 40.849505),#EE352E
9,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:19:30,00:19:30,10,112S,168 St-Washington Hts,40.840556,-73.940133,Broadway - 7 Avenue Local,EE352E,POINT (-73.940133 40.840556),#EE352E
10,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:21:00,00:21:00,11,113S,157 St,40.834041,-73.94489,Broadway - 7 Avenue Local,EE352E,POINT (-73.94489 40.834041),#EE352E
11,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:23:00,00:23:00,12,114S,145 St,40.826551,-73.95036,Broadway - 7 Avenue Local,EE352E,POINT (-73.95036 40.826551),#EE352E
12,1,AFA22GEN-1037-Sunday-00,AFA22GEN-1037-Sunday-00_000600_1..S03R,00:24:30,00:24:30,13,115S,137 St-City College,40.822008,-73.953676,Broadway - 7 Avenue Local,EE352E,POINT (-73.953676 40.822008),#EE352E
